"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"860Z200US00601","ZCTA5 00601","5611","258","3902","269","1709","224",
"860Z200US00602","ZCTA5 00602","12546","510","9443","478","3103","379",
"860Z200US00603","ZCTA5 00603","19537","671","11148","561","8389","600",
"860Z200US00606","ZCTA5 00606","1871","192","1438","154","433","113",
"860Z200US00610","ZCTA5 00610","8838","459","6415","425","2423","325",
"860Z200US00611","ZCTA5 00611","611","146","393","120","218","100",
"860Z200US00612","ZCTA5 00612","23438","953","14335","784","9103","693",
"860Z200US00616","ZCTA5 00616","3471","369","2424","333","1047","223",
"860Z200US00617","ZCTA5 00617","8579","524","6108","532","2471","405",
"860Z200US00622","ZCTA5 00622","3141","328","2320","291","821","229",
"860Z200US00623","ZCTA5 00623","15031","654","11678","684","3353","450",
"860Z200US00624","ZCTA5 00624","7301","363","5023","408","2278","329",
"860Z200US00627","ZCTA5 00627","11814","477","9065","458","2749","361",
"860Z200US00631","ZCTA5 00631","477","119","295","84","182","84",
"860Z200US00636","ZCTA5 00636","271","123","126","91","145","103",
"860Z200US00637","ZCTA5 00637","7555","430","5754","399","1801","319",
"860Z200US00638","ZCTA5 00638","5924","372","4200","312","1724","314",
"860Z200US00641","ZCTA5 00641","8947","450","5510","445","3437","383",
"860Z200US00646","ZCTA5 00646","12180","546","9636","586","2544","403",
"860Z200US00647","ZCTA5 00647","1844","233","1407","225","437","132",
"860Z200US00650","ZCTA5 00650","5260","361","3632","354","1628","356",
"860Z200US00652","ZCTA5 00652","1583","253","1217","228","366","138",
"860Z200US00653","ZCTA5 00653","3749","304","2569","270","1180","231",
"860Z200US00656","ZCTA5 00656","6443","326","4716","316","1727","278",
"860Z200US00659","ZCTA5 00659","12865","607","9498","562","3367","395",
"860Z200US00660","ZCTA5 00660","6000","347","4347","346","1653","275",
"860Z200US00662","ZCTA5 00662","13949","553","8945","466","5004","511",
"860Z200US00664","ZCTA5 00664","4962","437","2944","395","2018","346",
"860Z200US00667","ZCTA5 00667","8247","524","5871","455","2376","402",
"860Z200US00669","ZCTA5 00669","10374","448","6733","387","3641","390",
"860Z200US00670","ZCTA5 00670","2777","246","2043","205","734","160",
"860Z200US00674","ZCTA5 00674","14871","590","10811","513","4060","416",
"860Z200US00676","ZCTA5 00676","12974","586","8324","507","4650","573",
"860Z200US00677","ZCTA5 00677","5655","400","4112","322","1543","292",
"860Z200US00678","ZCTA5 00678","8739","576","5934","461","2805","478",
"860Z200US00680","ZCTA5 00680","17584","680","9475","553","8109","582",
"860Z200US00682","ZCTA5 00682","12194","612","5623","404","6571","529",
"860Z200US00683","ZCTA5 00683","10866","592","7306","499","3560","396",
"860Z200US00685","ZCTA5 00685","14525","644","10248","594","4277","558",
"860Z200US00687","ZCTA5 00687","10026","456","7040","482","2986","353",
"860Z200US00688","ZCTA5 00688","3904","310","2450","238","1454","247",
"860Z200US00690","ZCTA5 00690","2138","321","1248","259","890","237",
"860Z200US00692","ZCTA5 00692","12539","461","8561","543","3978","480",
"860Z200US00693","ZCTA5 00693","20982","725","15690","738","5292","479",
"860Z200US00694","ZCTA5 00694","68","47","68","47","0","15",
"860Z200US00698","ZCTA5 00698","12410","515","9186","428","3224","353",
"860Z200US00703","ZCTA5 00703","9057","461","5974","419","3083","371",
"860Z200US00704","ZCTA5 00704","2461","316","1905","270","556","213",
"860Z200US00705","ZCTA5 00705","9342","381","6995","400","2347","305",
"860Z200US00707","ZCTA5 00707","3946","295","2944","289","1002","271",
"860Z200US00714","ZCTA5 00714","6364","406","4885","399","1479","303",
"860Z200US00715","ZCTA5 00715","804","222","616","156","188","119",
"860Z200US00716","ZCTA5 00716","11826","621","7373","513","4453","437",
"860Z200US00717","ZCTA5 00717","6638","465","3252","347","3386","389",
"860Z200US00718","ZCTA5 00718","8186","560","5984","434","2202","428",
"860Z200US00719","ZCTA5 00719","9107","451","6277","426","2830","367",
"860Z200US00720","ZCTA5 00720","6613","352","4621","338","1992","286",
"860Z200US00723","ZCTA5 00723","6051","405","4238","368","1813","345",
"860Z200US00725","ZCTA5 00725","31121","887","19989","807","11132","663",
"860Z200US00727","ZCTA5 00727","20559","810","14642","729","5917","678",
"860Z200US00728","ZCTA5 00728","13259","641","9962","589","3297","379",
"860Z200US00729","ZCTA5 00729","17269","565","12888","572","4381","540",
"860Z200US00730","ZCTA5 00730","13366","615","8946","597","4420","336",
"860Z200US00731","ZCTA5 00731","3741","394","2969","345","772","221",
"860Z200US00735","ZCTA5 00735","4131","298","3047","269","1084","235",
"860Z200US00736","ZCTA5 00736","18095","654","11302","603","6793","579",
"860Z200US00738","ZCTA5 00738","12136","496","8429","451","3707","483",
"860Z200US00739","ZCTA5 00739","12712","429","8566","374","4146","459",
"860Z200US00740","ZCTA5 00740","727","170","358","113","369","145",
"860Z200US00741","ZCTA5 00741","1377","206","1093","197","284","116",
"860Z200US00745","ZCTA5 00745","16657","591","12130","628","4527","414",
"860Z200US00751","ZCTA5 00751","7850","471","6077","460","1773","295",
"860Z200US00754","ZCTA5 00754","13585","527","9963","451","3622","431",
"860Z200US00757","ZCTA5 00757","7379","385","5755","374","1624","233",
"860Z200US00765","ZCTA5 00765","2663","280","1836","275","827","222",
"860Z200US00766","ZCTA5 00766","7624","399","6001","428","1623","292",
"860Z200US00767","ZCTA5 00767","11939","555","8501","493","3438","427",
"860Z200US00769","ZCTA5 00769","12928","516","9831","494","3097","384",
"860Z200US00771","ZCTA5 00771","12454","639","9606","613","2848","489",
"860Z200US00772","ZCTA5 00772","6435","353","4169","328","2266","281",
"860Z200US00773","ZCTA5 00773","6738","397","4675","339","2063","300",
"860Z200US00775","ZCTA5 00775","428","69","283","61","145","47",
"860Z200US00777","ZCTA5 00777","13579","602","9807","532","3772","451",
"860Z200US00778","ZCTA5 00778","15185","630","11737","740","3448","556",
"860Z200US00780","ZCTA5 00780","4706","528","4049","534","657","204",
"860Z200US00782","ZCTA5 00782","5395","319","3328","305","2067","269",
"860Z200US00783","ZCTA5 00783","10803","552","8149","541","2654","398",
"860Z200US00784","ZCTA5 00784","14748","554","10487","580","4261","485",
"860Z200US00786","ZCTA5 00786","73","72","73","72","0","15",
"860Z200US00791","ZCTA5 00791","17283","763","12828","654","4455","471",
"860Z200US00794","ZCTA5 00794","9374","513","6421","474","2953","426",
"860Z200US00795","ZCTA5 00795","14801","556","11433","526","3368","345",
"860Z200US00901","ZCTA5 00901","3189","277","1375","248","1814","260",
"860Z200US00906","ZCTA5 00906","30","30","30","30","0","15",
"860Z200US00907","ZCTA5 00907","8306","519","5217","451","3089","400",
"860Z200US00909","ZCTA5 00909","2625","272","1116","196","1509","233",
"860Z200US00911","ZCTA5 00911","3885","390","1968","259","1917","328",
"860Z200US00912","ZCTA5 00912","2841","335","1468","229","1373","269",
"860Z200US00913","ZCTA5 00913","3044","319","510","146","2534","272",
"860Z200US00915","ZCTA5 00915","10585","517","4274","361","6311","477",
"860Z200US00917","ZCTA5 00917","8233","481","3951","353","4282","383",
"860Z200US00918","ZCTA5 00918","8070","673","3830","516","4240","499",
